pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.00204968794385e-26,5.01024843971925e-25,1.34223377296446,-0.596537713679635,-2.95568183981463,197,ATP5MC1|GPX4|TIMM8B|NDUFA2|NDUFB8|NDUFS4|OAT|NDUFB7|NDUFS7|NDUFA3|MRPS12|HSD17B10|COX8A|TIMM13|UQCR10|NQO2|NDUFS8|ALAS1|NDUFV1|NDUFA9|NDUFAB1|UQCRQ|UQCR11|NDUFS6|COX17|TIMM17A|UQCRH|ECH1|ATP5F1D|SDHB|ECI1|SLC25A12|ATP5PO|ATP6AP1|FH|ATP5ME|ATP5MF|NDUFA1|NDUFB6|ATP5PD|MRPL34|COX7B|COX5B|HTRA2|COX7C|MRPS15|ATP5PF|ATP5MC2|UQCRB|AIFM1|UQCRC1|TIMM10|NDUFS2|ATP6V0B|NDUFB1|TIMM50|CYC1|ATP5F1E|COX6C|COX6A1|NDUFA8|NDUFA6|ATP5MG|IMMT|ACADVL|NDUFB3|ACAT1|ATP6V1F|COX6B1|CYB5A|ACAA2|ATP5MC3|COX7A2|MRPS11|DECR1|HSPA9|POLR2F|IDH3G|FDX1|COX5A|MRPL11|ATP5F1C|SLC25A3|NDUFB2|MGST3|ATP6V1D|COX4I1|RHOT2|UQCRFS1|LDHA|TCIRG1|ATP6V0E1|BAX|SLC25A6|SLC25A11|GRPEL1|SURF1|SUPV3L1|MTX2|PMPCA|VDAC2|IDH2|POR|PDHA1|GPI|NDUFS3|ATP6V1H|ACAA1|NDUFC1|TOMM22|DLAT|MDH1|SLC25A5|SUCLG1|GOT2|BDH2|SDHA|IDH1|ETFB|NDUFA4|MDH2|MRPS30|ETFA|ATP5F1A
HALLMARK_MYC_TARGETS_V1,3.70054589635224e-16,9.25136474088059e-15,1.03769615548758,-0.493467044281004,-2.4492354181073,200,NME1|CDC45|NHP2|HSPE1|MRPL23|SRM|TXNL4A|MCM6|SNRPA|LSM7|LSM2|PSMB3|PSMC4|NDUFAB1|RUVBL2|FBL|RPL18|EXOSC7|RRP9|RACK1|CCT3|MCM4|PRPF31|MCM5|PPM1G|PA2G4|PSMD14|NOP16|TUFM|SNRPD2|EEF1B2|HPRT1|PRDX4|IMPDH2|RPL14|H2AZ1|TRIM28|CDC20|PSMD8|MRPS18B|PHB1|CCT7|CYC1|RPS5|KPNA2|SNRPG|RPLP0|HSPD1|RANBP1|COPS5|RFC4|RPS3|EIF2S2|XRCC6|NOP56|PSMD3|COX5A|RPS6|GLO1|SLC25A3|PSMB2|RPL34|POLD2|AIMP2|KARS1|CSTF2|NPM1|RPL6|EIF3J|PGK1|LDHA|SNRPD1|APEX1|EIF3B|RPS2|CTPS1|VBP1|PSMA7|SNRPA1|PSMD1|SSBP1|PSMA4|RSL1D1|NAP1L1|HDGF|EIF3D|CAD|KPNB1|AP3S1|C1QBP|CCT4|TARDBP|GOT2|RNPS1|DUT|PRPS2|ETF1|HNRNPD|VDAC1|SSB|CLNS1A|PABPC1|PSMA1|RPS10|GSPT1|HSP90AB1|ACP1|EIF2S1|MCM7|PPIA|CCT2|EPRS1|RRM1|SERBP1|ERH|HNRNPA3|PABPC4|PSMD7|MRPL9|HNRNPA2B1|PSMC6|CCNA2|SRSF2|POLE3|MCM2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4.06968240863371e-14,6.78280401438952e-13,0.965327754226083,0.568267824124359,2.13868411019131,199,TNFRSF11B|THBS2|LAMA2|SFRP1|CXCL8|PTHLH|SLIT2|GAS1|MXRA5|DCN|LUM|COL8A2|PMEPA1|LAMC2|SFRP4|CXCL1|RGS4|TFPI2|ELN|GEM|SGCD|BDNF|COL16A1|CRLF1|VCAN|LAMA1|FOXC2|CDH11|FAP|MMP2|PRRX1|FBLN2|CDH6|ECM1|IL6|COL12A1|CXCL6|COL3A1|INHBA|COL11A1|ABI3BP|COL5A1|POSTN|COMP|COL1A1|FBN1|MFAP5|GJA1|FBN2|MGP|OXTR|CTHRC1|FMOD|COL1A2|NID2|PMP22|DPYSL3|MATN2|LRRC15|QSOX1|CXCL12|SERPINE2|BGN|VCAM1|CD44|FBLN1|SCG2|ITGAV|ADAM12|COL6A3|TNC|GREM1|COL4A1|TNFAIP3|CAPG|LOXL2|NOTCH2|WIPF1|ITGB1|BASP1|COL4A2|LOXL1|THBS1|VEGFC|EDIL3|GLIPR1|NTM|FBLN5|SLIT3|EFEMP2|SERPINE1|ITGA2|FSTL3|MATN3|ECM2|GPX7|MYLK|FSTL1|HTRA1|PLAUR
HALLMARK_INFLAMMATORY_RESPONSE,5.62746351840144e-14,7.0343293980018e-13,0.965327754226083,0.571490413906533,2.14301003383146,189,TNFSF15|CXCL8|PCDH7|TNFAIP6|ITGB8|LAMP3|EREG|OLR1|LPAR1|OSM|HAS2|TPBG|IL7R|ADORA2B|RASGRP1|GABBR1|LIF|CCL22|NLRP3|CLEC5A|IL6|IL1B|CXCL6|ADGRE1|APLNR|INHBA|PDPN|FPR1|GPR132|CCL2|CD69|CYBB|TLR1|KCNJ2|PTGER2|LTA|RGS1|PTGER4|CXCL10|CCR7|CXCL11|SLAMF1|SELL|IL10|KCNA3|FFAR2|GPR183|PTAFR|SELE|IL18|AXL|CCL20|SLC4A4|PTGIR|OSMR|VIP|HRH1|LCP2|PIK3R5|P2RX7|MSR1|TLR3|HBEGF|CSF1|IL18R1|ICOSLG|SPHK1|PTPRE|C3AR1|CD48|EDN1|TNFSF10|CX3CL1|CALCRL|CCRL2|ICAM1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.35772399182276e-13,1.35772399182276e-12,0.943632225232838,0.562551980488846,2.11498036160366,195,F2RL1|EGR3|TNFAIP6|CXCL3|PTGS2|GFPT2|PMEPA1|OLR1|CXCL1|EGR2|GEM|TNF|FOSB|IL7R|FUT4|LIF|FOS|IL6|LAMB3|CD80|IL1B|CXCL6|BCL2A1|EGR1|INHBA|PFKFB3|CCL2|NFAT5|REL|CD69|ACKR3|SLC2A6|PTGER4|CXCL10|CXCL11|CCND1|FOSL1|GPR183|CD44|IL18|CCL20|B4GALT5|CD83|TNC|HBEGF|DUSP2|JAG1|CSF1|TNFAIP3|ICOSLG|SPHK1|PTPRE|DUSP4|EDN1|KLF10|CXCL2|SLC2A3|CCRL2|ICAM1|TIPARP|KLF4|MAFF|SOCS3|PLEK|KDM6B|IL23A|TSC22D1|TNFAIP2|MSC|SERPINE1|MARCKS|IFIT2|BTG3|SMAD3|PLAU|NFKB1|CCL4|FOSL2|BIRC3|PLAUR|ATF3|PDLIM5|ZC3H12A
HALLMARK_E2F_TARGETS,5.08175196296528e-13,4.23479330247107e-12,0.921426003494898,-0.459321090709239,-2.27761026159161,199,NME1|TK1|MXD3|CDKN2A|HMGB3|POLA2|CENPM|DSCC1|POLE4|PTTG1|JPT1|SPC24|NAA38|MCM6|SPC25|DCTPP1|TUBG1|RRM2|BIRC5|UBE2S|STMN1|SHMT1|TCF19|H2AX|TUBB|MCM4|PLK1|POLD1|MCM5|MYBL2|PA2G4|KIF4A|SNRPB|AURKB|PRDX4|MCM3|DDX39A|H2AZ1|AURKA|CDC20|DONSON|CCNE1|TBRG4|CDKN2C|KPNA2|CDC25A|RANBP1|KIF2C|XRCC6|RPA2|NOP56|CHEK1|ZW10|CCNB2|TIMELESS|POLD2|CDCA3|CKS2|SPAG5|E2F8|CTPS1|SUV39H1|KIF22|AK2|TACC3|LYAR|PHF5A|RFC2|UBE2T|CDK1|LMNB1|NAP1L1|CDKN3|TIPIN|EXOSC8|KIF18B|RAD51C|MELK|RPA3|NASP|RFC1|DNMT1|PRPS1|LIG1|CHEK2|DUT|POP7|RACGAP1|EZH2|PSMC3IP|MLH1|HNRNPD
HALLMARK_MYC_TARGETS_V2,1.30857922489235e-09,9.34699446351677e-09,0.788186810800237,-0.627529032162611,-2.51002172718936,56,RABEPK|FARSA|TMEM97|EXOSC5|HSPE1|SRM|DCTPP1|RRP9|IMP4|MCM4|PPAN|PLK1|MRTO4|MCM5|NOC4L|WDR74|PA2G4|NOP16|RRP12|TBRG4|PHB1|MYBBP1A|HSPD1|LAS1L|NOP56|NDUFAF4|AIMP2|NPM1|PES1|SUPV3L1|PUS1|GRWD1|SORD|TCOF1|BYSL
HALLMARK_MTORC1_SIGNALING,1.9204890611401e-07,1.20030566321256e-06,0.690132458796796,-0.377137806112385,-1.87009252266072,199,SDF2L1|TM7SF2|POLR3G|ATP5MC1|HMBS|SLC7A11|EBP|INSIG1|TMEM97|HSPE1|NUPR1|GLRX|TOMM40|QDPR|P4HA1|FDXR|TUBG1|RRM2|PSMC4|FADS2|NFKBIB|GLA|CALR|PSMD13|SQLE|RRP9|MCM4|PLK1|PSAT1|HSPA4|ME1|PSMD14|SC5D|TUBA4A|SLC1A4|HPRT1|ENO1|DDX39A|AURKA|DDIT4|GAPDH|PNO1|PDK1|IMMT|ABCF2|CDC25A|RDH11|HSPD1|CYB5B|CTSC|COPS5|SHMT2|PSMB5|EEF1E1|G6PD|CTH|EIF2S2|PSMG1|PHGDH|HSPA9|PPA1|PFKL|SLC7A5|DDIT3|HSPA5|NMT1|ATP6V1D|LGMN|IDI1|CCNF|PGK1|LDHA|PSMC2|MLLT11|STIP1|MTHFD2L|PDAP1|SERP1|SQSTM1|ARPC5L|PSMA4|SORD|LTA4H|GPI|WARS1|PRDX1|FADS1|BUB1|SLC2A1|ALDOA|TPI1|PNP|HSP90B1|CCT6A
HALLMARK_UV_RESPONSE_DN,4.03819725875697e-07,2.24344292153165e-06,0.674962860011025,0.515674289741781,1.88730149686589,143,MMP16|AMPH|EFEMP1|LPAR1|HAS2|RGS4|BDNF|ADORA2B|IGF1R|COL3A1|COL11A1|PLCB4|COL1A1|GJA1|KIT|COL1A2|IGFBP5|PMP22|CELF2|AKT3|VLDLR|FZD2|LTBP1|INPP4B|DLC1|SMAD7|TOGARAM1|CDON|PTGFR|ATP2B4|TJP1|NOTCH2|NFIB|NRP1|PTPRM|SYNJ2|FBLN5|CDC42BPA|ANXA4|ICA1|SERPINE1|PRKCE|DLG1|RUNX1|SMAD3|NFKB1|SYNE1|PRKAR2B|MAGI2|ERBB2|KALRN|PDLIM5|RND3|MAP1B|ZMIZ1|RASA2|BMPR1A|COL5A2|SCN8A|PPARG|ATRX|PIK3CD|NR1D2|SCAF8|PDGFRB|CAV1|PLPP3|MT1E|ATRN|CACNA1A|PIAS3
HALLMARK_DNA_REPAIR,5.43138250407925e-07,2.71569125203963e-06,0.659444398037935,-0.387966426396463,-1.85788869592865,149,BOLA2|CDA|NME1|AK1|GPX4|SAC3D1|POLR2I|POLA2|POLE4|NT5C|POLR2E|NME3|MPG|COX17|NUDT9|MRPL40|NELFE|RAD51|POLD4|GUK1|APRT|BCAP31|ERCC1|POLD1|POLR1H|HPRT1|IMPDH2|ERCC2|ALYREF|ADRM1|GTF2F1|RBX1|RFC4|POLB|ITPA|RPA2|TAF9|POLR2F|AAAS|EDF1|FEN1|GTF2A2|POLR1D|POLR2K|POLR1C|TARBP2|DGUOK|SEC61A1|SURF1|VPS28|SDCBP|RFC2|POLR2G|SUPT5H|POLR3GL|PNP|TAF12|RPA3|ADA|GTF3C5|LIG1|POLR2D|POLR2J|DUT|VPS37D|DDB1
HALLMARK_XENOBIOTIC_METABOLISM,1.63078207271216e-06,7.41264578505529e-06,0.643551836150722,-0.350518309577086,-1.73279650149874,196,ARG2|TAT|IGFBP1|REG1A|CDA|GNMT|CD36|DCXR|ITIH4|PC|AOX1|RBP4|APOE|LONP1|DDC|TMEM97|CCL25|FABP1|PEMT|ALAS1|PTGR1|SLC35B1|KYNU|CYP17A1|PYCR1|CYP2C18|HNF4A|CDO1|CBR1|CYP4F2|ECH1|GCNT2|UPB1|CYFIP2|HES6|DHPS|HRG|BLVRB|SLC22A1|PINK1|ALDH2|GSTO1|HPRT1|F10|FBP1|AP4B1|ASL|PMM1|GSTM4|CES1|HSD11B1|SERPINA6|PTS|ITIH1|SHMT2|CYB5A|PGD|SLC6A12|CYP27A1|TDO2|AHCY|HACL1|DDAH2|NMT1|KARS1|SERTAD1|HSD17B2|GCKR|UGDH|ACOX2|DHRS1|VTN|AKR1C3|GSS|AKR1C2|CYP2J2|POR|CYP1A1|FETUB
HALLMARK_MYOGENESIS,2.51736592777223e-06,1.0489024699051e-05,0.627256739718528,0.47267404328624,1.76100606419339,176,PTGIS|LAMA2|SGCA|NCAM1|SPDEF|SSPN|SPEG|CTF1|GNAO1|SGCD|ACHE|AEBP1|CACNG1|REEP1|EPHB3|MYOZ1|TNNT2|COL3A1|KLF5|APLNR|CASQ2|PRNP|MYH11|CHRNA1|COL15A1|CDH13|COL1A1|LDB3|EFS|RB1|WWTR1|NOS1|COX6A2|MYH3|TNNI1|RYR1|TCAP|MYOM2|SOD3|SVIL|ADAM12|TNNT1|NQO1|COL6A3|HBEGF|SPHK1|NAV2|GJA5|ITGB1|APP|COL4A2|VIPR1|PYGM|MEF2A|MYL3|BDKRB2|PSEN2|CASQ1|DES|ABLIM1|MEF2C|ITGB4|MYLK|LSP1|APOD|DENND2B
HALLMARK_KRAS_SIGNALING_UP,9.21250134111929e-06,3.54326974658434e-05,0.593325476396405,0.454872829721684,1.70605710163404,190,SNAP25|F2RL1|ALDH1A3|ADAMDEC1|IGF2|PTGS2|EREG|GFPT2|TMEM100|GALNT3|IL7R|ETV4|PRRX1|ADGRA2|LIF|EMP1|TNNT2|IL1B|INHBA|SPON1|ITGBL1|GUCY1A1|HKDC1|HDAC9|MMP11|IL33|GPRC5B|ANO1|CXCL10|PEG3|BTC|PLAT|ETV5|MMD|EPB41L3|CCL20|CCND2|PRDM1|MAP7|HBEGF|TPH1|TNFAIP3|ABCB1|DOCK2|ADAM17|GPNMB|TLR8|ETS1|C3AR1|SOX9|MAP3K1|NRP1|IKZF1|SPRY2|MALL|KLF4|CAB39L|CTSS|MPZL2|LY96|ETV1|AMMECR1|CSF2RA|ITGA2|PTPRR|KCNN4|PLAU|BIRC3|DUSP6|APOD|PLAUR|ALDH1A2|IRF8|NGF|PIGR|ADAM8|CXCR4|AKAP12|MYCN|CD37|RBM4|DNMBP|RABGAP1L|CROT
HALLMARK_ALLOGRAFT_REJECTION,1.6770514813453e-05,5.98946957623322e-05,0.575610261071129,0.449331077298614,1.68398933294852,188,EREG|TNF|CCL11|ACHE|LIF|CCL22|CD40LG|CCR5|NLRP3|CRTAM|IL6|TGFB2|CD80|IL1B|HLA-DQA1|INHBA|ITK|CCL2|F2R|HDAC9|IRF4|TRAT1|TLR1|PTPRC|IL10|IL27RA|IL18|CD28|CXCR3|CCR2|CCND2|LCP2|LY86|FYB1|CD3G|SOCS5|TLR3|FCGR2B|CD86|CSF1|LTB|SIT1|ELF4|GPR65|CAPG|CD8A|IL11|ETS1|ICOSLG|TLR6|INHBB|EGFR|IL7|STAT4|ICAM1|CCL19|CCR1|IL2RA|CD3E|CXCL9|CTSS
HALLMARK_INTERFERON_GAMMA_RESPONSE,5.96008299595105e-05,0.000195414746501638,0.557332238758646,0.426301821139621,1.60326008184914,196,TNFAIP6|SSPN|PTGS2|SELP|IFI44L|PLA2G4A|IL6|HLA-DQA1|FPR1|AUTS2|CCL2|CD69|BANK1|CD38|IRF4|EPSTI1|PELI1|CXCL10|CXCL11|OAS3|XAF1|OAS2|ZBP1|SAMD9L|IFI30|GPR18|RSAD2|VCAM1|LCP2|PSMA2|SLAMF7|CSF2RB|FCGR1A|CD86|PLSCR1|TNFAIP3|NOD1|USP18|PFKP|CMPK2|TNFSF10|IL7|STAT4|ICAM1|HELZ2|IFI44|FGL2|CXCL9|SOCS3|IFIT3|RTP4|TNFAIP2|IRF9|IFIT2|JAK2|NFKB1|MARCHF1|DDX60|IRF8|CIITA
HALLMARK_BILE_ACID_METABOLISM,6.2532718880524e-05,0.000195414746501638,0.538434096309916,-0.396962133540506,-1.8247571595172,109,CYP46A1|GNMT|SOAT2|AKR1D1|CYP39A1|SLCO1A2|SULT2B1|RBP1|PXMP2|BBOX1|FDXR|AGXT|SLC27A5|PEX11G|FADS2|APOA1|HAO1|ABCD1|PAOX|PEX6|PRDX5|PEX16|TFCP2L1|DIO2|ABCA6|SOD1|HSD17B6|SERPINA6|HSD3B7|ABCA9|ALDH1A1|MLYCD|CYP27A1|LIPE|NUDT12|HACL1|ABCA2|PIPOX|IDI1|ABCA4|PECR|HSD17B4|IDH2|NR1I2|FADS1|SLC23A2|GSTK1|ISOC1|SLC29A1|PFKM|IDH1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,7.4172560873677e-05,0.000218154590804932,0.538434096309916,-0.379763903657448,-1.75105730083895,113,IGFBP1|EXOSC4|CHAC1|TUBB2A|NHP2|EXOSC5|RPS14|YIF1A|WFS1|LSM4|PREB|HYOU1|CALR|H2AX|SRPRB|RRP9|PSAT1|STC2|POP4|WIPI1|EIF4EBP1|SLC1A4|EEF2|EXOSC1|DDIT4|TSPYL2|CXXC1|NOP56|DNAJB9|HSPA9|SLC7A5|ATF4|HSPA5|DDX10|NPM1|TATDN2|SPCS1|EXOSC9|PDIA6|SERP1|BANF1|CEBPB|IMP3
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.000116288211621278,0.000323022810059107,0.538434096309916,0.428620690323367,1.61197143904683,198,SLC24A3|EGR3|OLFM1|PGR|KAZN|HR|TFAP2C|TPBG|CCN5|FOXC1|OVOL2|RASGRP1|KRT15|IGF1R|PMAIP1|THSD4|TJP3|BCL11B|FOS|REEP1|RET|PDLIM3|MYOF|SH3BP5|GJA1|ABCA3|CCND1|CXCL12|TIAM1|ALDH3B1|TMPRSS3|OLFML3|CD44|SYNGR1|FRK|NRIP1|SYT12|DLC1|UGCG|ELF1|SVIL|KCNK15|ZNF185|SLC1A1|SLC37A1|NPY1R|PRSS23|INHBB|NAV2|KLF10|RAB31|TIPARP|ABHD2|FARP1|CYP26B1|KLF4|MAST4|BCL2|MREG|FCMR|EEIG1|ELF3|ABLIM1|JAK2|MPPED2|LAD1|MYB|AR|MUC1|CBFA2T3|AFF1|SCNN1A|MED13L|OPN3
